CostsKey,EstimatedTotalCost,NormalizedTotalCost,FederalPayments,ProvincialDeptPayments,ProvincialDFAAPayments,InsurancePayments
1,,,,,,
2,22522000.0,1608714.3,,14434443.0,,8087557.0
3,74559612.0,5106822.7,,18858612.0,,55701000.0
4,0.0,0.0,,,,
5,2893389.0,264639.2,908395.0,,1984994.0,
6,,,0.0,,0.0,
7,45473000.0,4159115.9,0.0,,0.0,45473000.0
8,17889807.0,1636262.8,9484477.0,,8405330.0,
9,24891000.0,2180233.6,0.0,,0.0,24891000.0
10,64216681.0,5624818.8,6473041.0,,13065640.0,44678000.0
11,181125959.0,15865047.5,19948463.0,,12800496.0,148377000.0
12,2323137.0,195770.0,619569.0,,1703568.0,
13,35296621.0,2974434.4,7787911.0,,6008710.0,21500000.0
14,39827872.0,3356281.3,156086.0,,2544786.0,37127000.0
15,37970666.0,3199775.2,20891999.0,,17078667.0,
16,26931008.0,2269467.0,11897256.0,,15033752.0,
17,0.0,0.0,0.0,,0.0,
18,1094778.0,87816.4,852700.0,,242078.0,
19,18489862.0,1483144.0,14174906.0,,4314956.0,
20,3146918.0,252426.6,54716.0,,3092202.0,
21,2327777.0,178146.2,1029958.0,,1297819.0,
22,581891545.0,44532516.2,,204155713.0,,
23,19295404.0,1476689.1,,3016404.0,,16279000.0
24,7925848.0,606570.0,,7591444.0,,
25,7731772.0,398202.8,6021772.0,1710000.0,,
26,536488.0,43033.8,,536488.0,,
27,,,,0.0,0.0,
28,28310657.0,2051496.9,,0.0,0.0,28310657.0
29,22147336.0,1694949.2,8229503.0,7522440.0,6395393.0,
30,1666667.0,127551.0,,1666667.0,,
31,4427167.0,338813.8,,,,
32,792167.0,60625.0,,511000.0,,
33,18208847.0,1393534.2,4355578.0,8199134.0,5654135.0,
34,29426861.0,2252055.7,7343629.0,15029513.0,7053719.0,
35,397070.0,30388.0,,,,
36,1031670000.0,53133218.9,75320000.0,206350000.0,,
37,146557019.0,10620073.8,,115360.0,,
38,304756.0,22083.8,,304756.0,,
39,3682004.0,266811.9,,3682004.0,,
40,546692.0,39615.4,518222.0,,28470.0,
41,40387745.0,2926648.2,,9280084.0,,31107661.0
42,7021214.0,508783.6,,,,
43,52603727.0,3811864.3,,2206439.0,,20645522.0
44,17300120.0,1253631.9,1002312.0,12363215.0,3934593.0,
45,884595372.0,64101113.9,,9289467.0,,378440384.0
46,4396737.0,318604.1,0.0,,0.0,4396737.0
47,5982309.0,433500.7,0.0,,0.0,5982309.0
48,580597523.0,41471251.6,,135289.0,,
49,219277.0,15662.6,,219277.0,,
50,20170168.0,1440726.3,,14434443.0,,5735725.0
51,4738539.0,338467.1,0.0,,0.0,4738539.0
52,2866371.0,204740.8,,2866371.0,,
53,1012311.0,72307.9,,1012311.0,,
54,2000000.0,142857.1,,2000000.0,,
55,5337940.0,381281.4,0.0,,0.0,5337940.0
56,38495497.0,2749678.4,,14434443.0,,24061054.0
57,228636.0,16331.1,147321.0,,81315.0,
58,8945037.0,638931.2,,,,8945037.0
59,19866000.0,1392476.6,,,,19866000.0
60,14973222.0,1049524.9,6500013.0,3808712.0,2349112.0,
61,6503703.0,455867.0,,613703.0,,5890000.0
62,10017238.0,702142.9,,1675238.0,,8342000.0
63,21095828.0,1478679.5,,12398407.0,,8697421.0
64,5738341.0,402220.2,2935683.0,,2802658.0,
65,214807255.0,15056583.3,11555527.0,,3763948.0,199487780.0
66,45995.0,3220.2,,45995.0,,
67,14299000.0,1001096.8,0.0,,0.0,14299000.0
68,6799000.0,476009.3,0.0,,0.0,6799000.0
69,57025698.0,3992464.3,1944488.0,1681761.0,31903387.0,
70,9074000.0,635285.9,0.0,,0.0,9074000.0
71,9589470.0,671374.8,,69470.0,,9520000.0
72,30969155.0,2168202.2,,21910155.0,,9059000.0
73,57478.0,3936.8,,57478.0,,
74,34511612.0,2363809.0,,18858612.0,,15653000.0
75,3189873.0,223328.3,,,,
76,7786393.0,545138.4,,246393.0,,7540000.0
77,11155000.0,780980.2,0.0,,0.0,11155000.0
78,14196201.0,993899.7,,5346201.0,,8850000.0
79,7876000.0,551411.9,0.0,,0.0,7876000.0
80,35830.0,2454.1,,35830.0,,
81,368160.0,25216.4,,368160.0,,
82,91585747.0,6272996.4,,91585747.0,,
83,4205645.0,288057.9,1816719.0,,2388926.0,
84,7155707.0,490116.9,1685853.0,,5469854.0,
85,3432310.0,235089.7,504871.0,2725062.0,202377.0,
86,28103000.0,1924863.0,0.0,,0.0,28103000.0
87,56910000.0,3897945.2,0.0,,0.0,56910000.0
88,9018000.0,617671.2,0.0,,0.0,9018000.0
89,2661890.0,182321.2,1274866.0,,1387024.0,
90,13353120.0,914597.3,0.0,235120.0,0.0,13118000.0
91,17419000.0,1193082.2,0.0,,0.0,17419000.0
92,18835222.0,1290083.7,1915497.0,11196729.0,5722996.0,
93,100307.0,6769.9,,100307.0,,
94,57644492.0,3890516.9,,100110.0,,
95,99870.0,6740.4,,22413.0,,
96,9404772.0,634742.8,,621641.0,,8343840.0
97,378557.0,25549.4,,131518.0,,
98,278061.0,18766.8,,194537.0,,
99,105000000.0,7086614.2,0.0,,0.0,105000000.0
100,6816377.0,460047.9,4430930.0,,2385447.0,
101,18159797.0,1225633.1,5693853.0,6999175.0,5466769.0,
102,103000000.0,6951631.0,,,,103000000.0
103,87877643.0,5930999.5,0.0,,0.0,87877643.0
104,21308000.0,1438110.2,0.0,,0.0,21308000.0
105,215339641.0,14533609.1,1583282.0,3821888.0,5440089.0,
106,25881403.0,1717792.2,21771004.0,,4110399.0,
107,4585262.0,304331.5,653232.0,,3932030.0,
108,1319475.0,87575.8,,1319475.0,,
109,47368494.0,3143926.6,18664180.0,20360612.0,8343702.0,
110,498513577.0,33087184.3,193808836.0,,23624696.0,232600000.0
111,40114688.0,2662479.3,15472238.0,,10407813.0,
112,664352.0,44094.2,,664352.0,,
113,974055.0,64012.4,,974055.0,,
114,4635720433.0,304647564.1,665387416.0,17661738.0,42560837.0,1712248000.0
115,5109358.0,335773.8,0.0,5109358.0,0.0,
116,5636784.0,370434.9,3550846.0,,2085938.0,
117,6400400.0,413373.5,6400000.0,,,
118,1499116.0,78831.7,1499116.0,,,
119,27741685.0,1823111.8,7246824.0,5924402.0,14570459.0,
120,65258000.0,4288587.1,,,,65258000.0
121,12044118.0,791508.3,,12044118.0,,
122,2795.0,183.7,,,,
123,3036145.0,199527.6,,,,
124,14025688.0,921732.0,,,,14025688.0
125,122000000.0,7879440.3,,,,50000000.0
126,22426695.0,1448441.0,12206998.0,,10219697.0,
127,109195449.0,7052451.0,7292493.0,97575000.0,3327956.0,
128,1717172.0,110904.5,345839.0,,1371333.0,
129,922323.0,59568.8,317481.0,,104842.0,
130,8751452.0,565217.6,2977089.0,,5774363.0,
131,43595000.0,2815608.2,,,,43595000.0
132,1441367.0,93091.5,1022030.0,,419337.0,
133,1726766.0,111524.2,485625.0,,1241141.0,
134,4912305.0,317264.0,1834365.0,,3077940.0,
135,6621462.0,416444.2,3059340.0,301806.0,2773532.0,
136,3385331.0,212913.9,190216.0,,3195115.0,
137,3787294.0,238194.6,1580762.0,,2206532.0,
138,2917561.0,183494.4,885581.0,,2031980.0,
139,5627843.0,353952.4,449218.0,1939000.0,1389625.0,
140,16710626.0,1025191.8,7045162.0,768943.0,3107992.0,
141,20942391.0,1284809.3,10691352.0,,10251039.0,
142,869596.0,53349.4,,869596.0,,
143,9323887.0,572017.6,2622744.0,,6701143.0,
144,11743003.0,720429.6,4353450.0,,1668893.0,5720660.0
145,1300000.0,78000.0,,1300000.0,,
146,32332.0,1939.9,,19779.0,,
147,6975854.0,418551.2,,6975854.0,,
148,16054182.0,963250.9,8834091.0,,7220091.0,
149,10376248.0,622574.9,3552493.0,2094671.0,2954305.0,
150,31014.0,1860.8,,31014.0,,
151,464286.0,27857.2,,464286.0,,
152,4681553.0,273242.4,4681553.0,,,
153,25485948.0,1487506.7,21065353.0,,4420595.0,
154,1869114.0,109092.3,1869114.0,,,
155,6934707.0,404749.4,6934707.0,,,
156,5286253.0,308536.2,5286253.0,,,
157,159052448.0,9283216.8,159052448.0,,,
158,121846.0,7111.6,39640.0,,82206.0,
159,25529656.0,1490057.7,25529656.0,,,
160,8958966.0,522896.8,8958966.0,,,
161,3687690.0,211328.9,3687690.0,,,
162,2302473.0,131946.9,565937.0,,1736536.0,
163,5700000.0,326647.6,5700000.0,,,
164,12678824.0,726580.2,12678824.0,,,
165,2578039.0,147738.6,2578039.0,,,
166,4337646.0,243232.5,4337646.0,,,
167,388288.0,21773.2,388288.0,,,
168,2278201.0,127749.6,768644.0,,1509557.0,
169,647617.0,36315.0,647617.0,,,
170,1447904.0,81190.9,510004.0,,937900.0,
171,37032721.0,2076601.2,37032721.0,,,
172,3455208.0,193750.0,3455208.0,,,
173,9567567.0,536499.1,9567567.0,,,
174,18461755.0,1035238.6,18461755.0,,,
175,7283952.0,400584.0,7283952.0,,,
176,3140829.0,172731.2,3140829.0,,,
177,125800000.0,6769506.7,125800000.0,,,
178,9600000.0,516591.9,9600000.0,,,
179,14149725.0,761420.2,14149725.0,,,
180,7500000.0,403587.4,1600000.0,,5900000.0,
181,21000000.0,1104294.5,21000000.0,,,
182,223990.0,12053.3,223990.0,,,
183,675103.0,35500.6,675103.0,,,
184,3227650.0,484147.5,1545488.0,,1682162.0,
185,7572381.0,518656.2,4784560.0,,2787821.0,
186,2381905.0,139021.7,1869114.0,,512791.0,
187,3235813.0,177954.9,3235813.0,,,
188,2805156.51,150950.1,812603.0,,1925958.41,
189,19073933.0,1026400.0,19073933.0,,,
190,1183183.0,63669.0,1183183.0,,,
191,4507509.0,237029.4,4507509.0,,,
192,1572759.0,82704.2,1572759.0,,,
193,460000.0,24189.3,460000.0,,,
194,851326.0,44767.4,851326.0,,,
195,644956.0,33915.3,644956.0,,,
196,314496.0,16537.9,314496.0,,,
197,3591884.0,188385.5,3591884.0,,,
198,216978.0,13646.4,216978.0,,,
199,16396213.0,882307.4,7496213.0,,8900000.0,
200,459130.0,24080.2,59130.0,,400000.0,
201,98743529.0,5178856.4,81743529.0,,17000000.0,
202,2000000.0,104895.1,626000.0,,1374000.0,
203,6000000.0,314685.3,,,,6000000.0
204,50000000.0,2622377.6,,,,50000000.0
205,9572104.0,492983.9,9572104.0,,,
206,3135000.0,161459.2,3135000.0,,,
207,4500000.0,236014.0,400000.0,,4100000.0,
208,4118000.0,212085.8,4118000.0,,,
209,7535000.0,396231.4,1235000.0,,6300000.0,
210,627673.0,32326.5,,337716.0,,144003.0
211,13239000.0,681836.9,12881000.0,,,
212,5000000.0,257510.7,5000000.0,,,
213,17000000.0,875536.5,,1000000.0,,16000000.0
214,100000.0,5150.2,,100000.0,,
215,112000.0,5768.2,112000.0,,,
216,85507690.0,4403829.5,85507690.0,,,
217,257339000.0,13253510.7,37339000.0,220000000.0,,
218,750000000.0,38626609.4,,,,
219,8277755.0,1357009.0,3037970.0,,5239785.0,
220,13191884.0,691882.0,3591884.0,,9600000.0,
221,20087353.0,3293008.7,7372141.0,,12715212.0,
222,12843964.0,1174752.8,6809368.0,,6034596.0,
223,10000000.0,515021.5,,10000000.0,,
224,7872284.0,689543.1,5660456.0,,2211828.0,
225,13807000.0,1107513.4,0.0,,0.0,13807000.0
226,154623306.0,10590637.4,34061897.0,12672842.0,9324782.0,21893670.0
227,300000000.0,20247469.1,300000000.0,,,
228,93089380.0,6282747.8,3435141.0,,10709159.0,78945080.0
229,26217000.0,1350231.8,26217000.0,,,
230,129049397.0,7236414.8,129049397.0,,,
231,2597891.0,145676.1,497891.0,,2100000.0,
232,76506000.0,4012552.4,70006000.0,,6500000.0,
233,24402775.0,10384159.6,,23207778.0,,
234,3737000.0,1104532.0,1550023.0,,2186977.0,
235,75000.0,22167.5,75000.0,,,
236,1250000.0,358851.7,1250000.0,,0.0,
237,2426000.0,696459.3,833229.0,,1592771.0,
238,5300000.0,1452054.8,1662223.0,,3637777.0,
239,7311000.0,1858728.8,4225495.0,,3085505.0,
240,5330000.0,1355084.7,2314500.0,,3015500.0,
241,5151752.0,1179790.5,3540871.0,,1610881.0,
242,6611800.0,1514152.7,4151261.0,,2460539.0,
243,21765136.0,4984382.3,8670477.0,,13094659.0,
244,8532000.0,1953893.1,4246073.0,,4285927.0,
245,14523061.0,3325891.8,11464005.0,,3059056.0,
246,800539.0,183329.5,73470.0,,727069.0,
247,143000.0,32748.1,13473.0,,129527.0,
248,1893852.0,391831.4,493226.0,,1400626.0,
249,2828222.0,585149.4,640274.0,,2187948.0,
250,8005500.0,1544469.5,3065714.0,,4939786.0,
251,4137800.0,798289.4,2067621.0,,2070179.0,
252,1947804.0,375782.1,530877.0,,1416927.0,
253,20500000.0,3954983.9,7582330.0,,12917670.0,
254,975000.0,188102.9,155109.0,,819891.0,
255,4545103.0,876868.7,2134809.0,,2410294.0,
256,5235779.0,858324.4,3588601.0,,1647178.0,
257,1597600.0,261901.6,87859.0,,1509741.0,
258,1854000.0,278100.0,1682054.0,,171946.0,
259,18557303.0,2783595.5,14670604.0,,3886699.0,
260,2642670.0,396400.5,26635.0,,2616035.0,
261,,,0.0,,,
262,10143000.0,1383136.4,4328769.0,,5814231.0,
263,22248.0,2696.7,0.0,22248.0,0.0,
264,1854.0,224.7,0.0,,0.0,
265,1668590.0,202253.3,0.0,,0.0,
266,572824.0,62603.7,413342.0,,159482.0,
267,3130147.0,379411.8,217888.0,,2912259.0,
268,141412.0,15454.9,46278.0,,95134.0,
269,1585054.0,173229.9,1340291.0,,244763.0,
270,0.0,0.0,0.0,,,
271,111591.0,11524.0,0.0,111591.0,0.0,
272,4444275.0,458961.3,1384672.0,,3059603.0,
273,6367841.0,657608.4,3879494.0,,2484696.0,
274,20614195.0,2128832.5,1121298.0,,3107897.0,16385000.0
275,22060000.0,2278141.1,0.0,,0.0,22060000.0
276,53831341.0,5559174.6,27739771.0,,26091570.0,
277,4029790.0,398989.1,605407.0,,3424383.0,
278,2686465.0,265986.6,816031.0,,1870434.0,
279,1656780.0,164037.6,301190.0,,1355590.0,
280,3272619.0,324021.7,1786357.0,,1486262.0,
281,39066000.0,3867920.8,0.0,,0.0,39066000.0
282,3999112.0,395951.7,637747.0,,3361365.0,
283,16390000.0,1560952.4,0.0,,0.0,16390000.0
284,83992000.0,7999238.1,0.0,,0.0,83992000.0
285,699884000.0,35023386.2,699884000.0,,,
286,552960000.0,27671059.2,52960000.0,,,500000000.0
287,81612000.0,4084003.3,81612000.0,,,
288,153856000.0,7699216.0,16056000.0,,,137800000.0
289,19778000.0,975086.3,19778000.0,,,
290,500000000.0,28037383.2,,,,500000000.0
291,3829000.0,188775.7,3829000.0,,,
292,940000000.0,45928338.8,,,,940000000.0
293,1503748.0,74137.1,1503748.0,,,
294,2715742000.0,132690977.2,1015742000.0,,,1700000000.0
295,400000000.0,20600858.4,,,,400000000.0
296,6700000.0,330320.5,,,,
297,300000000.0,14376996.8,,300000000.0,,
298,55000000.0,2635782.7,,55000000.0,,
299,10796000.0,527491.9,10796000.0,,,
300,29603000.0,1418674.1,13603000.0,16000000.0,,
301,160000000.0,,,,2490000.0,
302,24712000.0,1184281.2,12212000.0,12500000.0,,
303,13064000.0,626070.3,13064000.0,,,
304,19387000.0,929089.5,19387000.0,,,
305,92191000.0,4369241.7,92191000.0,,,
306,5000000.0,236966.8,,,,
307,20401000.0,966872.0,20401000.0,,,
308,16700000.0,780373.8,16700000.0,,,
309,30350000.0,1418224.3,30350000.0,,,
310,65132000.0,3043551.4,65132000.0,,,
311,4068678000.0,190125140.2,468678000.0,,,3600000000.0
