"Name","2018 Population"
"Toronto",2600000
"Montreal",1600000
"Calgary",1019942
"Ottawa",812129
"Edmonton",712391
"Mississauga",668549
"North York",636000
"Winnipeg",632063
"Scarborough",600000
"Vancouver",600000
"Quebec",528595
"Hamilton",519949
"Brampton",433806
"Surrey",394976
"Laval",376845
"Halifax",359111
"Etobicoke",347948
"London",346765
"Okanagan",297601
"Victoria",289625
"Windsor",278013
"Markham",261573
"Oshawa",247989
"Gatineau",242124
"Vaughan",238866
"Kitchener",233700
"Longueuil",229330
"Burnaby",202799
"Ladner",200000
"Saskatoon",198958
"Richmond Hill",185541
"Barrie",182041
"Richmond",182000
"Nepean",180000
"Regina",176183
"Oakville",165697
"Burlington",164415
"Greater Sudbury",157857
"Abbotsford",151683
"Saguenay",143692
"St. Catharines",131989
"Sherbrooke",129447
"Anmore",126456
"Levis",126396
"Kelowna",125109
"Cambridge",120372
"Trois-Rivieres",119693
"Guelph",115760
"East York",115365
"Coquitlam",114565
"Kingston",114195
"Sydney",105968
"Delta",101668
"Dartmouth",101343
"Thunder Bay",99334
"St. John's",99182
"Waterloo",97475
"Terrebonne",94703
"Langley",93726
"Ajax",90167
"Saint John",87857
"Pickering",87838
"Brantford",87759
"Moncton",87467
"Nanaimo",84905
"Milton",84362
"Sarnia",82998
"Niagara Falls",82000
"Willowdale",79440
"Saint-Laurent",77391
"Chilliwack",77000
"Repentigny",76237
"Fort McMurray",76000
"Peterborough",75877
"Sault Ste. Marie",74948
"Newmarket",74295
"Red Deer",73593
"Saint-Leonard",73423
"Saint-Jean-sur-Richelieu",71613
"Lethbridge",70617
"Maple Ridge",70000
"Brossard",69575
"Kamloops",68714
"Notre-Dame-de-Grace",67000
"White Rock",66450
"Prince George",65558
"Medicine Hat",63138
"Norfolk County",60847
"Drummondville",59489
"New Westminster",58549
"St. Albert",57719
"Sherwood Park",55063
"Saint-Jerome",54948
"Jonquiere",54842
"Granby",53979
"Fredericton",52337
"Welland",50331
"Saint-Hyacinthe",50326
"North Bay",50170
"Belleville",49454
"Shawinigan",49161
"Dollard-Des Ormeaux",48930
"Cornwall",48821
"North Vancouver",48000
"Vernon",47274
"Blainville",46493
"West End",44560
"Chatham",43550
"Timmins",42997
"Chateauguay",42786
"Quinte West",42697
"West Vancouver",42694
"Charlottetown",42402
"Rimouski",42240
"Saint-Eustache",42062
"Grande Prairie",41462
"Boucherville",39062
"Salaberry-de-Valleyfield",38662
"Penticton",37721
"St. Thomas",36110
"Rock Forest",35500
"Joliette",34772
"Mirabel",34626
"Mascouche",34626
"Prince Albert",34609
"Victoriaville",34426
"Brant",34415
"Woodstock",33892
"Campbell River",33430
"Ancaster",33232
"Courtenay",32793
"Orangeville",32640
"North Cowichan",32272
"Moose Jaw",32166
"Midland",31502
"Cote-Saint-Luc",31395
"Saint-Georges",31173
"Val-d'Or",31123
"Stratford",30233
"Orillia",30178
"Pointe-Claire",30161
"Baie-Comeau",29808
"Alma",29526
"Sainte-Julie",29019
"West Kelowna",28793
"Port Moody",27512
"Boisbriand",26483
"Brandon",26234
"Vaudreuil-Dorion",25789
"Thetford-Mines",25704
"Walnut Grove",25683
"Prince Edward",25496
"Sainte-Therese",25224
"Airdrie",24673
"Mount Pearl",24671
"Saint-Bruno-de-Montarville",24388
"Rouyn-Noranda",24023
"Saint-Constant",23957
"Brockville",23886
"Langley",23606
"Whitehorse",23272
"Owen Sound",22625
"Chambly",22608
"Sept-Iles",22582
"Langford",22459
"Duncan",22199
"La Prairie",21763
"Lower Sackville",21379
"Port Alberni",21282
"Keswick",21000
"Varennes",20950
"Clarence-Rockland",20790
"Truro",20650
"Westmount",20494
"Kirkland",20491
"New Glasgow",20322
"Cole Harbour",20000
"Glace Bay",19968
"Huntsville",19579
"Terrace",19443
"North Battleford",19440
"Beaconsfield",19194
"Mont-Royal",18933
"Beloeil",18927
"Corner Brook",18693
"Cranbrook",18610
"Port Colborne",18599
"Riviere-du-Loup",18586
"Dieppe",18565
"Thorold",18224
"Miramichi",18129
"Cobourg",18099
"Dorval",18088
"Oak Bay",18015
"Amos",17918
"Spruce Grove",17767
"Pitt Meadows",17410
"Deux-Montagnes",17402
"Fort St. John",17402
"Saint-Augustin-de-Desmaures",17281
"Conception Bay South",17087
"Saint-Lazare",17016
"Sainte-Catherine",16762
"L'Assomption",16738
"Edmundston",16643
"L'Ancienne-Lorette",16516
"Cochrane",16365
"Lutes Mountain",16311
"Sainte-Catherine",16211
"Salmon Arm",16205
"Rayside-Balfour",16050
"Petawawa",15988
"Fort Erie",15953
"Candiac",15947
"Lloydminster",15910
"Yellowknife",15865
"Collingwood",15809
"Mont-Saint-Hilaire",15720
"Camrose",15686
"Yorkton",15669
"Saint-Basile-le-Grand",15605
"Leduc",15561
"Pembroke",15551
"Magog",15550
"Greater Napanee",15132
"Kenora",15096
"le Plateau",15000
"Fort Saskatchewan",14957
"Okotoks",14826
"Gaspe",14819
"Matane",14812
"Summerside",14808
"Prince Rupert",14708
"Swift Current",14703
"Colwood",14687
"Rosemere",14173
"Williams Lake",14168
"Saint-Lin-Laurentides",14159
"Simcoe",13922
"Quesnel",13788
"Bay Roberts",13737
"Mont-Laurier",13405
"Portage la Prairie",12957
"Dolbeau-Mistassini",12916
"Powell River",12779
"Brooks",12744
"Bathurst",12714
"Kentville",12636
"Elliot Lake",12508
"Thompson",12467
"Aldergrove",12363
"Canmore",12288
"Hawkesbury",12283
"North Perth",12254
"Grand Falls-Windsor",12076
"Parksville",12000
"Beauharnois",11918
"Ingersoll",11874
"Montmagny",11724
"Cold Lake",11595
"Sainte-Marie",11584
"Uxbridge",11531
"Fall River",11526
"Amherstburg",11459
"Sainte-Marthe-sur-le-Lac",11311
"Wetaskiwin",11302
"Pincourt",11197
"Paris",11177
"Becancour",11134
"North Saanich",11089
"Cowansville",10887
"Dawson Creek",10802
"Sainte-Anne-des-Plaines",10680
"Lambton Shores",10656
"Sainte-Adele",10634
"Les Coteaux",10622
"Whistler",10600
"Smiths Falls",10553
"Sylvan Lake",10518
"Temiskaming Shores",10442
"Rawdon",10400
"Labrador City",10313
"Angus",10269
"Prevost",10132
"Mercier",10121
"Lacombe",10059
"Strathmore",10009
"Hanceville",10000
"South Huron",9982
"Bells Corners",9977
"L'Ile-Perrot",9927
"Estevan",9904
"Hinton",9889
"Notre-Dame-de-l'Ile-Perrot",9885
"High River",9826
"Nelson",9813
"Carleton Place",9743
"Trail",9707
"Selkirk",9653
"Lorraine",9613
"Arnprior",9607
"Steinbach",9607
"Lachute",9562
"Val-des-Monts",9539
"La Tuque",9503
"Weyburn",9362
"Amherst",9336
"Dorchester",9329
"Roberval",9287
"Saint-Raymond",9273
"Huron East",9264
"Kapuskasing",9240
"Saint-Sauveur",9191
"Oromocto",8998
"Kitimat",8987
"La Malbaie",8959
"Stony Plain",8939
"Mont-Tremblant",8892
"Binbrook",8796
"Whitecourt",8763
"Lavaltrie",8762
"Ladysmith",8740
"Pont-Rouge",8723
"Castlegar",8715
"Otterburn Park",8464
"Dauphin",8418
"Bois-des-Filion",8383
"Winkler",8270
"Concord",8255
"Bracebridge",8238
"Notre-Dame-des-Prairies",8230
"Dryden",8195
"Taber",8163
"Morinville",8108
"Silver Berry",8089
"Saint-Felicien",8088
"Saint-Hippolyte",8083
"Bridgewater",8070
"Goderich",8032
"Wild Rose",8031
"Renfrew",8018
"Edson",7975
"Fort Frances",7931
"Chandler",7914
"Kirkland Lake",7775
"Slave Lake",7661
"Happy Valley-Goose Bay",7572
"Wasaga Beach",7567
"Chibougamau",7563
"Revelstoke",7533
"Aylmer",7527
"Pont Rouge",7518
"Camlachie",7506
"Banff",7502
"Yarmouth",7500
"Carignan",7426
"Campbellton",7384
"Beaumont",7366
"Innisfil",7345
"Delson",7322
"Sydney Mines",7312
"Baie-Saint-Paul",7288
"Hanover",7255
"La Sarre",7206
"Asbestos",7190
"Merritt",7179
"Bluewater",7044
"Coaticook",7021
"Hampstead",6996
"Olds",6947
"Greenwood",6915
"Gibsons",6821
"Carbonear",6814
"Saint-Zotique",6773
"Kincardine",6725
"Plessisville",6677
"Brownsburg-Chatham",6664
"Ponoka",6656
"Mont-Joli",6568
"Rocky Mountain House",6527
"Kimberley",6513
"Perth",6481
"Parry Sound",6469
"Pointe-Calumet",6396
"Morden",6395
"Coaldale",6317
"Summerland",6292
"Stephenville",6278
"Amqui",6261
"Beauceville",6226
"Saint-Joseph-du-Lac",6195
"Sooke",6145
"Iqaluit",6124
"Drayton Valley",6099
"Farnham",6061
"The Pas",6055
"Bromont",6049
"Saint-Felix-de-Valois",6029
"Bonnyville",6003
"Flin Flon",6002